query,visible_impressions,current_target,intent,ctr_or_position_gap,recommended_snippet_test
work of art tattoo,30,/,brand navigational,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
arm sleeve tattoo,20,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,sleeve planning,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
tattoo cover up ideas,16,/cover-up-tattoos-las-vegas/,cover-up idea research,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
cover up tattoo ideas,12,/cover-up-tattoos-las-vegas/,cover-up idea research,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
tattoo styles,6,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,style comparison,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
full sleeve tattoo,6,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,large-scale sleeve planning,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
tattoo styles names,6,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,style vocabulary,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
suggest tattoo sleeve ideas that align with typical project pricing,4,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,AI-style sleeve/pricing query,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
tattoo ideas,4,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,early idea research,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
sleeve,4,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,ambiguous sleeve research,not available from pasted sample,align title/description with intent and strengthen visible proof/CTA; verify in GSC after deployment
