url,page_intent,section_heading,asset_type,asset_path,alt_text,caption,artist,verified_real_work,intent_alignment_score,provenance_status,action,notes
/,tattoo,,image,/home_work_of_art_tattoo_piercing/work-of-art-studio-banner-las-vegas.webp,,,,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/,tattoo,,image,/home_work_of_art_tattoo_piercing/work-of-art-studio-banner-las-vegas.png,Work of Art Tattoo & Piercing — Las Vegas studio banner,,,YES,4,UNKNOWN,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/fresh-eagle-memorial-calf-tattoo-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/fresh-eagle-memorial-calf-tattoo-las-vegas.png,Fresh color eagle memorial calf tattoo — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/eagle-memorial-calf-healed-tattoo-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/eagle-memorial-calf-healed-tattoo-las-vegas.png,Healed color eagle memorial calf tattoo — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/fresh-roaring-lion-thigh-black-grey-joshua-cole-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/fresh-roaring-lion-thigh-black-grey-joshua-cole-las-vegas.png,Fresh roaring lion thigh black and grey realism — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,"Fresh vs healed — same clients, real timelines",image,/healed_tattoo_gallery_las_vegas/healed-3-month-roaring-lion-thigh-joshua-cole-las-vegas.png,Healed roaring lion thigh at three months — Work of Art Las Vegas,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/artists/joshua-cole/joshua-cole-portrait-las-vegas-400.webp,,,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/artists/joshua-cole/joshua-cole-portrait-las-vegas.png,"Joshua Cole — black and grey realism tattoo artist, Work of Art Tattoo Las Vegas",,Joshua Cole,YES,4,LIKELY,KEEP,Tattoo visual supports tattoo page.
/,tattoo,Meet Our Artists,image,/artists/katelyn-cole/katelyn-cole-professional-piercer-ear-curation-no-duplicates-las-vegas-400.webp,,,Katelyn Cole,YES,3,VERIFIED,REVIEW,Generic studio creative; acceptable when not used as portfolio proof.
