url,route,title,h1,indexable,unique_search_intent,unique_firsthand_information,original_studio_imagery,original_artist_commentary,unique_factual_information,inbound_internal_links_estimate,overlap_bucket,commercial_usefulness,local_usefulness,deserves_to_exist_without_google,problems,recommendation,canonical,internal_links_out
https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,/aging_skin_skin_science_las_vegas_authority_guide/,Aging Skin & Long-Term Tattoo Clarity | Work of Art,Aging Skin & Long-Term Tattoo Clarity,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,59
https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,/anti_eyebrow_piercing_las_vegas_authority_guide/,Anti-Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Eyebrow Piercing Guide,yes,facial piercing placement,yes,yes,yes,yes,pending graph pass,facial piercing placement,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,66
https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,/anti_tragus_piercing_las_vegas_authority_guide/,Anti-Tragus Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Tragus Piercing Guide,yes,ear piercing placement,yes,yes,yes,yes,pending graph pass,ear piercing placement,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,65
https://www.workofarttattoo.com/appointments/,/appointments/,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,Book your appointment,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/appointments/,55
https://www.workofarttattoo.com/artists/,/artists/,Artists | Work of Art Tattoo & Piercing Las Vegas,Artists at Work of Art,yes,piercing commercial hub,yes,yes,partial,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/artists/,7
https://www.workofarttattoo.com/artists/joshua-cole/,/artists/joshua-cole/,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,Joshua Cole — Realism Tattoo Artist Las Vegas,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/artists/joshua-cole/,53
https://www.workofarttattoo.com/artists/katelyn-cole/,/artists/katelyn-cole/,Female Piercer Las Vegas | Katelyn Cole | Work of Art,Katelyn Cole — Female Piercer in Las Vegas,yes,Katelyn piercing entity,yes,yes,yes,yes,pending graph pass,Katelyn piercing entity,yes,yes,yes,,IMPROVE,https://www.workofarttattoo.com/artists/katelyn-cole/,53
https://www.workofarttattoo.com/artists/teralyn/,/artists/teralyn/,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,Teralyn,yes,piercing commercial hub,partial,yes,partial,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/artists/teralyn/,6
https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,Fine Line Tattoos in Vegas — Joshua Cole | Work of Art Las Vegas | Work of Art,Fine Line Tattoos in Vegas,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,56
https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,/best_piercing_shop_las_vegas_updated_jewelry_standards/,Tattoo and Piercing Shop Near the Strip Las Vegas | Work of Art,Ear Piercing & Body Piercing — Las Vegas,yes,piercing jewelry/downsizing,yes,yes,partial,yes,pending graph pass,piercing jewelry/downsizing,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,54
https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,/best_tattoo_styles_for_sleeves_large_scale_project_hub/,Sleeve & Large-Scale Tattoos — Joshua Cole | Work of Art Las Vegas | Work of Art,Best Tattoo Styles For Sleeves: what to know before you plan,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,50
https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,/body_piercing_guide_las_vegas/,Body Piercing Guide Las Vegas | Piercing Shop Near the Strip | Work of Art,Body Piercing Guide — Las Vegas,yes,local visitor mixed tattoo/piercing,yes,yes,yes,yes,pending graph pass,local visitor mixed tattoo/piercing,yes,yes,yes,,IMPROVE,https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,59
https://www.workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,/bridge_piercing_las_vegas_authority_guide/,Bridge Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Bridge Piercing Guide,yes,facial piercing placement,yes,yes,yes,yes,pending graph pass,facial piercing placement,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,66
https://www.workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,/cartilage_piercing_las_vegas_authority_guide/,"Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare | Work of Art","Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare",yes,piercing aftercare/healing,yes,yes,yes,yes,pending graph pass,piercing aftercare/healing,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,62
https://www.workofarttattoo.com/,/,Work of Art Tattoo & Piercing | Las Vegas | Walk-Ins on E. Tropicana,Tattoo & Piercing Studio in Las Vegas,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/,67
https://www.workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,/collagen_skin_science_las_vegas_authority_guide/,Collagen — Structure That Holds Your Tattoo Together | Work of Art,Collagen — Structure That Holds Your Tattoo Together,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,60
https://www.workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,/conch_piercing_las_vegas_authority_guide/,Conch Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Conch Piercing Guide,yes,ear piercing placement,yes,yes,yes,yes,pending graph pass,ear piercing placement,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,66
https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,/cover-up-tattoos-las-vegas/,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,Cover Up Tattoos Las Vegas,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,54
https://www.workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/,/cover_up_tattoos_las_vegas_master_authority_guide/,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,Cover Up Tattoos Las Vegas,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,53
https://www.workofarttattoo.com/daith_piercing_las_vegas_authority_guide/,/daith_piercing_las_vegas_authority_guide/,Daith Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Daith Piercing Guide,yes,ear piercing placement,yes,yes,yes,yes,pending graph pass,ear piercing placement,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/daith_piercing_las_vegas_authority_guide/,66
https://www.workofarttattoo.com/dermis_skin_science_las_vegas_authority_guide/,/dermis_skin_science_las_vegas_authority_guide/,The Dermis — Where Tattoo Ink Lives | Work of Art,The Dermis — Where Tattoo Ink Lives,yes,piercing commercial hub,yes,yes,yes,yes,pending graph pass,piercing commercial hub,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/dermis_skin_science_las_vegas_authority_guide/,60
https://www.workofarttattoo.com/diabetes_skin_science_las_vegas_authority_guide/,/diabetes_skin_science_las_vegas_authority_guide/,Diabetes — Skin Healing & Tattoo Considerations | Work of Art,Diabetes — Skin Healing & Tattoo Considerations,yes,piercing aftercare/healing,yes,yes,yes,yes,pending graph pass,piercing aftercare/healing,yes,yes,yes,,KEEP,https://www.workofarttattoo.com/diabetes_skin_science_las_vegas_authority_guide/,59
