cluster,primary_url,member_urls,recommended_action,rationale
Tattoo healing database style/time matrix,https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/,https://www.workofarttattoo.com/healing_database_tattoo_timeline_encyclopedia_las_vegas/ | https://www.workofarttattoo.com/las-vegas-tattoo-healing-guide/ | https://www.workofarttattoo.com/tattoo_healing_before_after_real_results/ | https://www.workofarttattoo.com/healing_database_black_grey_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_black_grey_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_color_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_cover_ups_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_fine_line_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_neo_traditional_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_portraits_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_tattoo_year_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_day_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_day_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_day_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_day_4_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_month_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_month_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_month_6_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_tattoos_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_week_1_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_week_2_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_week_3_las_vegas/ | https://www.workofarttattoo.com/healing_database_traditional_year_1_las_vegas/,MERGE / 301 after mapping,Many style/time pages chase similar healing-stage keywords; consolidate into one evidence-led healing guide and create subpages only for documented studio examples.
Near-Strip / landmark / neighborhood location pages,https://www.workofarttattoo.com/visit/,https://www.workofarttattoo.com/tattoo_shop_enterprise_las_vegas/ | https://www.workofarttattoo.com/tattoo_shop_green_valley_henderson/ | https://www.workofarttattoo.com/tattoo_shop_near_allegiant_stadium_las_vegas/ | https://www.workofarttattoo.com/tattoo_shop_near_las_vegas_airport/ | https://www.workofarttattoo.com/tattoo_shop_near_mgm_grand_las_vegas/ | https://www.workofarttattoo.com/tattoo_shop_near_the_sphere_las_vegas/ | https://www.workofarttattoo.com/tattoo_shop_near_the_strip_geo_seo_optimized/ | https://www.workofarttattoo.com/tattoo_shop_near_the_strip_nap_corrected/ | https://www.workofarttattoo.com/tattoo_shop_paradise_nevada/ | https://www.workofarttattoo.com/tattoo_shop_spring_valley_las_vegas/ | https://www.workofarttattoo.com/vegas_tattoo_shop_vs_cheap_strip_tattoo_ultimate_comparison/ | https://www.workofarttattoo.com/vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/,MERGE,"Do not keep dozens of geo pages unless each has unique route, parking, visitor timing, maps/photos, and search demand."
Healed tattoo proof galleries,https://www.workofarttattoo.com/healed_tattoo_gallery_las_vegas/,https://www.workofarttattoo.com/healed_black_grey_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_color_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_cover_up_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_fine_line_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_portrait_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_sleeve_tattoos_las_vegas/ | https://www.workofarttattoo.com/healed_tattoo_gallery_las_vegas/,KEEP hub; IMPROVE or MERGE subcollections,Subcollections should be indexable only with enough unique healed examples and commentary.
Piercing placement guides,https://www.workofarttattoo.com/piercing_types_las_vegas_authority_hub/,https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/ | https://www.workofarttattoo.com/body_piercing_guide_las_vegas/ | https://www.workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/conch_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/daith_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/ear_curation_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/ear_lobe_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/ear_piercing_guide_las_vegas/ | https://www.workofarttattoo.com/ear_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/eyebrow_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/facial_piercing_guide_las_vegas/ | https://www.workofarttattoo.com/flat_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/forward_helix_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/frog_eyes_tongue_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/genital_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/helix-piercing-las-vegas/ | https://www.workofarttattoo.com/helix_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/high_nostril_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/industrial_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_anatomy_matters_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_butterfly_backs_truth_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_cole_piercing_authority_hub_las_vegas/ | https://www.workofarttattoo.com/katelyn_downsizing_jewelry_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_ear_curation_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_gold_vs_titanium_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_implant_grade_titanium_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_piercing_minors_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_sleeping_on_helix_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_threadless_jewelry_las_vegas_authority_guide/ | https://www.workofarttattoo.com/katelyn_why_piercings_reject_las_vegas_authority_guide/ | https://www.workofarttattoo.com/labret_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/lip_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/monroe_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/navel_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/nipple_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/nose_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/nostril_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/oral_piercing_guide_las_vegas/ | https://www.workofarttattoo.com/orbital_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/philtrum_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/piercing-guide-las-vegas/ | https://www.workofarttattoo.com/piercing_jewelry_guide_las_vegas/ | https://www.workofarttattoo.com/piercing_types_las_vegas_authority_hub/ | https://www.workofarttattoo.com/rook_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/septum_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/snake_bites_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/snug_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/surface_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/tongue_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/tragus_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/upper_lobe_piercing_las_vegas_authority_guide/ | https://www.workofarttattoo.com/vertical_labret_piercing_las_vegas_authority_guide/,KEEP hubs; IMPROVE placements; 301 exact duplicates,"Placement pages can work if backed by Katelyn/Katie anatomy, jewelry, healing, and aftercare notes; otherwise they overlap."
Tattoo style and service pages,https://www.workofarttattoo.com/artists/joshua-cole/,https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/ | https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/ | https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/ | https://www.workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/ | https://www.workofarttattoo.com/fine_line_tattoos_las_vegas_master_authority_guide/ | https://www.workofarttattoo.com/flash_art_deals_under_100/ | https://www.workofarttattoo.com/how_much_do_tattoos_cost_in_las_vegas_authority_guide/ | https://www.workofarttattoo.com/joshua_oil_painting_black_grey_tattoo_aging_las_vegas/ | https://www.workofarttattoo.com/realism-tattoos-las-vegas/ | https://www.workofarttattoo.com/realism_tattoos_las_vegas_master_authority_guide/ | https://www.workofarttattoo.com/walk-in-tattoos-las-vegas/,KEEP commercial winners; MERGE generated authority variants,Style pages should be portfolio-led with real examples; generated authority guide variants overlap artist/service pages.
Skin science subpages,https://www.workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/,https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/dermis_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/diabetes_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/eczema_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/epidermis_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/hypodermis_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/macrophages_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/psoriasis_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/scar_tissue_tattoo_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/skin_science_tattoo_dermatology_authority_guide/ | https://www.workofarttattoo.com/stretch_marks_skin_science_las_vegas_authority_guide/ | https://www.workofarttattoo.com/why_tattoos_stay_forever_skin_science_las_vegas_authority_guide/,MERGE unless uniquely expanded,Thin science subtopics compete with a broader skin-science hub and rarely have local/commercial value alone.
FAQ knowledge pages,https://www.workofarttattoo.com/knowledge/,https://www.workofarttattoo.com/knowledge/best-soap-for-tattoo-aftercare/ | https://www.workofarttattoo.com/knowledge/black-and-grey-realism-explained/ | https://www.workofarttattoo.com/knowledge/can-you-get-tattoo-while-breastfeeding/ | https://www.workofarttattoo.com/knowledge/can-you-swim-after-ear-piercing/ | https://www.workofarttattoo.com/knowledge/ | https://www.workofarttattoo.com/knowledge/cover-up-tattoo-consultation-what-happens/ | https://www.workofarttattoo.com/knowledge/ear-curation-multiple-piercings-planning/ | https://www.workofarttattoo.com/knowledge/fine-line-tattoo-longevity/ | https://www.workofarttattoo.com/knowledge/fine-line-tattoo-pain-level/ | https://www.workofarttattoo.com/knowledge/first-tattoo-tips-before-you-book/ | https://www.workofarttattoo.com/knowledge/how-dark-can-cover-up-tattoo-be/ | https://www.workofarttattoo.com/knowledge/how-long-piercing-heals/ | https://www.workofarttattoo.com/knowledge/how-long-tattoo-session-last/ | https://www.workofarttattoo.com/knowledge/how-much-does-tattoo-cost-las-vegas/ | https://www.workofarttattoo.com/knowledge/how-often-wash-new-tattoo/ | https://www.workofarttattoo.com/knowledge/how-to-compare-tattoo-studios/ | https://www.workofarttattoo.com/knowledge/implant-grade-titanium-vs-surgical-steel/ | https://www.workofarttattoo.com/knowledge/least-painful-tattoo-placements/ | https://www.workofarttattoo.com/knowledge/luxury-studio-vs-strip-walk-in/ | https://www.workofarttattoo.com/knowledge/most-painful-tattoo-placements/ | https://www.workofarttattoo.com/knowledge/piercing-bump-vs-infection/ | https://www.workofarttattoo.com/knowledge/sleeping-with-new-tattoo-tips/ | https://www.workofarttattoo.com/knowledge/sleeve-tattoo-how-many-sessions/ | https://www.workofarttattoo.com/knowledge/tattoo-aftercare-lotion-vs-ointment/ | https://www.workofarttattoo.com/knowledge/tattoo-aging-and-fading-over-time/ | https://www.workofarttattoo.com/knowledge/tattoo-and-blood-donation-wait/ | https://www.workofarttattoo.com/knowledge/tattoo-consultation-what-to-bring/ | https://www.workofarttattoo.com/knowledge/tattoo-cover-up-laser-first/ | https://www.workofarttattoo.com/knowledge/tattoo-deposit-policy-why-required/ | https://www.workofarttattoo.com/knowledge/tattoo-etiquette-studio-behavior/ | https://www.workofarttattoo.com/knowledge/tattoo-flying-after-session/ | https://www.workofarttattoo.com/knowledge/tattoo-gym-workout-aftercare/ | https://www.workofarttattoo.com/knowledge/tattoo-healing-itching-desert-climate/ | https://www.workofarttattoo.com/knowledge/tattoo-healing-peeling-las-vegas/ | https://www.workofarttattoo.com/knowledge/tattoo-infection-signs-when-to-see-doctor/ | https://www.workofarttattoo.com/knowledge/tattoo-mri-with-ink/ | https://www.workofarttattoo.com/knowledge/tattoo-on-ribs-recovery/ | https://www.workofarttattoo.com/knowledge/tattoo-over-scar-tissue/ | https://www.workofarttattoo.com/knowledge/tattoo-scabbing-normal-or-problem/ | https://www.workofarttattoo.com/knowledge/tattoo-second-skin-saniderm-how-long/ | https://www.workofarttattoo.com/knowledge/tattoo-shop-minimum-explained/ | https://www.workofarttattoo.com/knowledge/tattoo-shop-near-strip-worth-drive/ | https://www.workofarttattoo.com/knowledge/tattoo-style-matching-artist/ | https://www.workofarttattoo.com/knowledge/tattoo-sunscreen-after-healing-las-vegas/ | https://www.workofarttattoo.com/knowledge/tattoo-swimming-after-getting-inked/ | https://www.workofarttattoo.com/knowledge/tattoo-tipping-las-vegas/ | https://www.workofarttattoo.com/knowledge/tattoo-touch-up-timing/ | https://www.workofarttattoo.com/knowledge/vegas-tattoo-aftercare-desert-climate/ | https://www.workofarttattoo.com/knowledge/walk-in-tattoo-vs-appointment/ | https://www.workofarttattoo.com/knowledge/white-ink-tattoo-facts/,IMPROVE or MERGE,"FAQ pages need firsthand studio answers, not generic one-keyword posts."
Artist build/raw legacy URLs,https://www.workofarttattoo.com/artists/,https://www.workofarttattoo.com/artists_build/joshua-cole.html | https://www.workofarttattoo.com/artists_build/katelyn-cole.html | https://www.workofarttattoo.com/artists_build/teralyn.html | https://www.workofarttattoo.com/artists_raw/joshua.raw.html | https://www.workofarttattoo.com/artists_raw/katelyn.raw.html,301 / NOINDEX build artifacts,Build and raw pages duplicate canonical artist pages and should not compete in index.
Canonical duplicate: https://www.workofarttattoo.com/,https://www.workofarttattoo.com/,https://www.workofarttattoo.com/ | https://www.workofarttattoo.com/home_work_of_art_tattoo_piercing/,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
Canonical duplicate: https://www.workofarttattoo.com/artists/joshua-cole/,https://www.workofarttattoo.com/artists/joshua-cole/,https://www.workofarttattoo.com/artists/joshua-cole/ | https://www.workofarttattoo.com/artists_build/joshua-cole.html,301 non-canonical URLs after mapping,Multiple public files declare the same canonical URL.
