url,source_file,http_intent,page_type,title,meta_description,h1,canonical,robots,indexable,author,reviewer,primary_topic,primary_intent,local_intent,original_photos,original_video,original_case_study,firsthand_experience,duplicate_cluster,internal_links_in,internal_links_out,recommended_action,notes
https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,aging_skin_skin_science_las_vegas_authority_guide/code.html,static-html-export,tattoo,Aging Skin & Long-Term Tattoo Clarity | Work of Art,"Collagen loss, sun damage, and design choices that age well. Work of Art Tattoo & Piercing, Las Vegas — E. Tropicana.",Aging Skin & Long-Term Tattoo Clarity,https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: aging skin skin science las vegas authority guide,mixed,high,true,true,true,false,,4,112,KEEP,
https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,anti_eyebrow_piercing_las_vegas_authority_guide/code.html,static-html-export,piercing,Anti-Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,"Anti-Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art — Work of Art Tattoo & Piercing, Las Vegas. Custom tattoos, piercing, and…",The Complete Anti-Eyebrow Piercing Guide,https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: anti eyebrow piercing las vegas authority guide,mixed,high,true,true,true,false,,9,133,KEEP,
https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,anti_tragus_piercing_las_vegas_authority_guide/code.html,static-html-export,piercing,Anti-Tragus Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,"Anti-Tragus Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art — Work of Art Tattoo & Piercing, Las Vegas. Custom tattoos, piercing, and…",The Complete Anti-Tragus Piercing Guide,https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: anti tragus piercing las vegas authority guide,mixed,high,true,true,true,false,,3,133,KEEP,
https://www.workofarttattoo.com/appointments/,appointments/code.html,static-html-export,conversion,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,"Book tattoo and piercing appointments at Work of Art in Las Vegas — custom tattoos, consults, and walk-ins. 2375 E. Tropicana Ave, Suite 3. (725) 224-1240.",Book your appointment,https://www.workofarttattoo.com/appointments/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,understand page topic: Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,mixed,medium,true,true,true,false,,1728,101,KEEP,
https://www.workofarttattoo.com/artists/,artists/code.html,static-html-export,artist,Artists | Work of Art Tattoo & Piercing Las Vegas,"Meet Joshua Cole and Katelyn Cole at Work of Art in Las Vegas — realism tattoo, custom ink, and master piercing. Book at our Tropicana studio.",Artists at Work of Art,https://www.workofarttattoo.com/artists/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,evaluate and book a specific Work of Art artist,commercial,high,true,true,false,false,,57,13,KEEP,
https://www.workofarttattoo.com/artists/joshua-cole/,artists/joshua-cole/code.html,static-html-export,artist,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,"Joshua Cole — black and grey realism tattoo artist at Work of Art Las Vegas. Portraits, sleeves, cover-ups. Book a consult.",Joshua Cole — Realism Tattoo Artist Las Vegas,https://www.workofarttattoo.com/artists/joshua-cole/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,evaluate and book a specific Work of Art artist,commercial,high,true,true,true,false,,503,99,KEEP,
https://www.workofarttattoo.com/artists/katelyn-cole/,artists/katelyn-cole/code.html,static-html-export,artist,Female Piercer Las Vegas | Katelyn Cole | Work of Art,"Katelyn Cole is a female piercer in Las Vegas at Work of Art near the Strip. Ear curation, implant-grade titanium, calm consults, and anatomy-first piercing.",Katelyn Cole — Female Piercer in Las Vegas,https://www.workofarttattoo.com/artists/katelyn-cole/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,evaluate and book a specific Work of Art artist,commercial,high,true,true,false,false,,679,104,KEEP,
https://www.workofarttattoo.com/artists/teralyn/,artists/teralyn/code.html,static-html-export,artist,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,"Meet Teralyn at Work of Art Tattoo & Piercing in Las Vegas. Fineline floral work, script, custom drawings by commission, walk-in tattoos, and flash sheet designs.",Teralyn,https://www.workofarttattoo.com/artists/teralyn/,"index, follow, max-snippet:-1, max-image-preview:large",true,Teralyn,,evaluate and book a specific Work of Art artist,commercial,high,true,false,false,false,,435,8,KEEP,
https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,best_fine_line_tattoos_in_vegas_ultimate_authority_guide/code.html,static-html-export,tattoo,Fine Line Tattoos in Vegas — Joshua Cole | Work of Art Las Vegas | Work of Art,"Needle-light linework, healed clarity, and how to pick an artist for delicate script and micro-detail. Work of Art Tattoo & Piercing, Las Vegas — E…",Fine Line Tattoos in Vegas,https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: best fine line tattoos in vegas ultimate authority guide,mixed,high,true,true,true,false,,3,101,KEEP,
https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,best_piercing_shop_las_vegas_updated_jewelry_standards/code.html,static-html-export,piercing,Tattoo and Piercing Shop Near the Strip Las Vegas | Work of Art,"Implant-grade jewelry, sterile technique, and what separates a premium Vegas piercing studio. Work of Art Tattoo & Piercing, Las Vegas — E. Tropicana.",Ear Piercing & Body Piercing — Las Vegas,https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: best piercing shop las vegas updated jewelry standards,mixed,high,true,true,true,false,,449,112,KEEP,
https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,best_tattoo_styles_for_sleeves_large_scale_project_hub/code.html,static-html-export,tattoo,Sleeve & Large-Scale Tattoos — Joshua Cole | Work of Art Las Vegas | Work of Art,"Planning full sleeves and big projects: style fit, sessions, and building cohesive large-scale art. Work of Art Tattoo & Piercing, Las Vegas — E…",Best Tattoo Styles For Sleeves: what to know before you plan,https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: best tattoo styles for sleeves large scale project hub,mixed,high,true,true,false,false,,462,98,KEEP,
https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,body_piercing_guide_las_vegas/code.html,static-html-export,piercing,Body Piercing Guide Las Vegas | Piercing Shop Near the Strip | Work of Art,"Navel and nipple piercing guides with anatomy assessment and private consults. Work of Art Tattoo & Piercing, Las Vegas — E. Tropicana.",Body Piercing Guide — Las Vegas,https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: body piercing guide las vegas,mixed,high,true,true,true,false,,434,105,KEEP,
https://www.workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,bridge_piercing_las_vegas_authority_guide/code.html,static-html-export,piercing,Bridge Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,"Bridge Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art — Work of Art Tattoo & Piercing, Las Vegas. Custom tattoos, piercing, and walk-ins…",The Complete Bridge Piercing Guide,https://www.workofarttattoo.com/bridge_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: bridge piercing las vegas authority guide,mixed,high,true,true,true,false,,7,133,KEEP,
https://www.workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,cartilage_piercing_las_vegas_authority_guide/code.html,static-html-export,piercing,"Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare | Work of Art","Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare | Work of Art — Work of Art Tattoo & Piercing, Las Vegas. Custom tattoos, piercing…","Cartilage (Overview) Piercing Las Vegas — Healing, Pain & Aftercare",https://www.workofarttattoo.com/cartilage_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: cartilage piercing las vegas authority guide,mixed,high,true,true,true,false,,2,115,KEEP,
https://www.workofarttattoo.com/,code.html,static-html-export,home,Work of Art Tattoo & Piercing | Las Vegas | Walk-Ins on E. Tropicana,"Las Vegas tattoo and piercing studio on E. Tropicana — custom tattoos, black and grey realism, color work, cover-ups, and walk-ins. (725) 224-1240.",Tattoo & Piercing Studio in Las Vegas,https://www.workofarttattoo.com/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,book tattoo or piercing studio in Las Vegas,commercial,high,true,true,true,false,,1453,137,KEEP,
https://www.workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,collagen_skin_science_las_vegas_authority_guide/code.html,static-html-export,tattoo,Collagen — Structure That Holds Your Tattoo Together | Work of Art,"Dermal scaffold, healing, and how structure affects line clarity. Work of Art Tattoo & Piercing, Las Vegas — E. Tropicana.",Collagen — Structure That Holds Your Tattoo Together,https://www.workofarttattoo.com/collagen_skin_science_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: collagen skin science las vegas authority guide,mixed,high,true,true,true,false,,7,112,KEEP,
https://www.workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,conch_piercing_las_vegas_authority_guide/code.html,static-html-export,piercing,Conch Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,"Conch Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art — Work of Art Tattoo & Piercing, Las Vegas. Custom tattoos, piercing, and walk-ins…",The Complete Conch Piercing Guide,https://www.workofarttattoo.com/conch_piercing_las_vegas_authority_guide/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book piercing service: conch piercing las vegas authority guide,mixed,high,true,true,true,false,,20,133,KEEP,
https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,cover-up-tattoos-las-vegas/code.html,static-html-export,tattoo,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,"Scar camouflage, redesign consults, and healed cover-up proof from the studio. Work of Art Tattoo & Piercing, Las Vegas — E. Tropicana.",Cover Up Tattoos Las Vegas,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: cover up tattoos las vegas,mixed,high,true,true,true,false,,465,110,KEEP,
https://www.workofarttattoo.com/cover_up_tattoos_las_vegas_master_authority_guide/,cover_up_tattoos_las_vegas_master_authority_guide/code.html,static-html-export,tattoo,Tattoo Cover-Ups — Joshua Cole | Work of Art Las Vegas | Work of Art,"Tattoo cover up, scar camouflage, real studio portfolio photos, pricing, and free consult — minutes from the Strip. Work of Art Tattoo & Piercing, Las…",Cover Up Tattoos Las Vegas,https://www.workofarttattoo.com/cover-up-tattoos-las-vegas/,"index, follow, max-snippet:-1, max-image-preview:large",true,Joshua Cole,Katelyn Cole,learn about or book tattoo service/topic: cover up tattoos las vegas master authority guide,mixed,high,true,true,true,false,,5,107,KEEP,not in sitemap
