url,source_file,page_type,title,h1,canonical,index_status,primary_topic,primary_search_intent,author,reviewer,location_target,duplicate_cluster,recommended_action,notes
https://www.workofarttattoo.com/,code.html,piercing guide,Tattoo and Piercing Shop Near the Strip | Work of Art Las Vegas,You're welcome here — questions included.,https://www.workofarttattoo.com/,index,piercing,research piercing service,Joshua Cole,,"Las Vegas, NV",https://www.workofarttattoo.com/ | https://www.workofarttattoo.com/home_work_of_art_tattoo_piercing/,keep,duplicate canonical/title cluster
https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,aging_skin_skin_science_las_vegas_authority_guide/code.html,guide,Aging Skin & Long-Term Tattoo Clarity | Work of Art,Aging Skin & Long-Term Tattoo Clarity,https://www.workofarttattoo.com/aging_skin_skin_science_las_vegas_authority_guide/,index,tattoo,local service research,Joshua Cole,Joshua Cole,,,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/aging-skin-skin-science/
https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,anti_eyebrow_piercing_las_vegas_authority_guide/code.html,guide,Anti-Eyebrow Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Eyebrow Piercing Guide,https://www.workofarttattoo.com/anti_eyebrow_piercing_las_vegas_authority_guide/,index,artist,local service research,Joshua Cole,Katelyn Morgen Cole,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/anti-eyebrow-piercing/
https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,anti_tragus_piercing_las_vegas_authority_guide/code.html,guide,Anti-Tragus Piercing — Katelyn Cole | Work of Art Las Vegas | Work of Art,The Complete Anti-Tragus Piercing Guide,https://www.workofarttattoo.com/anti_tragus_piercing_las_vegas_authority_guide/,index,artist,local service research,Joshua Cole,Katelyn Morgen Cole,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/anti-tragus-piercing/
https://www.workofarttattoo.com/appointments/,appointments/code.html,piercing guide,Book an Appointment | Work of Art Tattoo & Piercing Las Vegas,Book your appointment,https://www.workofarttattoo.com/appointments/,index,piercing,research piercing service,Joshua Cole,,"Las Vegas, NV",,keep,
https://www.workofarttattoo.com/appointments/woa-booking-forms.html,appointments/woa-booking-forms.html,guide,,,,index,tattoo,local service research,Joshua Cole,,,,repair metadata,missing title; missing h1
https://www.workofarttattoo.com/artists/,artists/code.html,artist,Artists | Work of Art Tattoo & Piercing Las Vegas,Artists at Work of Art,https://www.workofarttattoo.com/artists/,index,artist,view artist portfolio and book,Joshua Cole,,"Las Vegas, NV",,keep,
https://www.workofarttattoo.com/artists/teralyn/,artists/teralyn/code.html,artist,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,Teralyn,https://www.workofarttattoo.com/artists/teralyn/,index,artist,view artist portfolio and book,Teralyn,,"Las Vegas, NV",https://www.workofarttattoo.com/artists/teralyn/ | https://www.workofarttattoo.com/artists_build/teralyn.html,keep,duplicate canonical/title cluster
https://www.workofarttattoo.com/artists_build/joshua-cole.html,artists_build/joshua-cole.html,artist,Joshua Cole | Realism Tattoo Artist Las Vegas | Work of Art,Joshua Cole — Realism Tattoo Artist Las Vegas,https://www.workofarttattoo.com/artists/joshua-cole/,index,artist,view artist portfolio and book,Joshua Cole,,"Las Vegas, NV",,keep,canonical differs from file URL
https://www.workofarttattoo.com/artists_build/katelyn-cole.html,artists_build/katelyn-cole.html,artist,Female Piercer Las Vegas | Katelyn Cole | Work of Art,Katelyn Cole — Female Piercer in Las Vegas,https://www.workofarttattoo.com/artists/katelyn-cole/,index,artist,view artist portfolio and book,Joshua Cole,,"Las Vegas, NV",,keep,canonical differs from file URL
https://www.workofarttattoo.com/artists_build/teralyn.html,artists_build/teralyn.html,artist,Teralyn | Fine Line Tattoo Artist Las Vegas | Work of Art,Teralyn,https://www.workofarttattoo.com/artists/teralyn/,index,artist,view artist portfolio and book,Teralyn,,"Las Vegas, NV",https://www.workofarttattoo.com/artists/teralyn/ | https://www.workofarttattoo.com/artists_build/teralyn.html,keep,canonical differs from file URL; duplicate canonical/title cluster
https://www.workofarttattoo.com/artists_raw/joshua.raw.html,artists_raw/joshua.raw.html,artist,Joshua Cole - Best Black & Grey Realism Tattoo Artist in Las Vegas | Work of Art Tattoo,Joshua Cole - Best Black & Grey Realism Tattoo Artist in Las Vegas,,index,artist,view artist portfolio and book,Joshua Cole,,"Las Vegas, NV",,keep,
https://www.workofarttattoo.com/artists_raw/katelyn.raw.html,artists_raw/katelyn.raw.html,artist,Katelyn Cole - Best Body Piercer & Fine Line Artist in Las Vegas | Work of Art Tattoo,Katelyn Cole - Best Body Piercer & Fine Line Artist in Las Vegas,,index,artist,view artist portfolio and book,Katelyn Cole,,"Las Vegas, NV",,keep,
https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,best_fine_line_tattoos_in_vegas_ultimate_authority_guide/code.html,guide,Fine Line Tattoos in Vegas — Joshua Cole | Work of Art Las Vegas | Work of Art,Fine Line Tattoos in Vegas,https://www.workofarttattoo.com/best_fine_line_tattoos_in_vegas_ultimate_authority_guide/,index,artist,local service research,Joshua Cole,Joshua Cole,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/tattoos/fine-line/
https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,best_piercing_shop_las_vegas_updated_jewelry_standards/code.html,piercing guide,Tattoo and Piercing Shop Near the Strip Las Vegas | Work of Art,Ear Piercing & Body Piercing — Las Vegas,https://www.workofarttattoo.com/best_piercing_shop_las_vegas_updated_jewelry_standards/,index,piercing,research piercing service,Joshua Cole,,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/best-piercing-shop-jewelry-standards/
https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,best_tattoo_styles_for_sleeves_large_scale_project_hub/code.html,guide,Sleeve Tattoo Styles & Planning | Joshua Cole Las Vegas | Work of Art,Best Tattoo Styles For Sleeves: what to know before you plan,https://www.workofarttattoo.com/best_tattoo_styles_for_sleeves_large_scale_project_hub/,index,artist,local service research,Joshua Cole,Joshua Cole,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/best-tattoo-styles-for-sleeves-large-scale-project/
https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,body_piercing_guide_las_vegas/code.html,piercing guide,Body Piercing Las Vegas | Consults Near the Strip | Work of Art,Body Piercing Guide — Las Vegas,https://www.workofarttattoo.com/body_piercing_guide_las_vegas/,index,piercing,research piercing service,Joshua Cole,Katelyn Morgen Cole,"Las Vegas, NV",,redirect to clean URL,recommended clean URL: https://www.workofarttattoo.com/body-piercing/
