url,page_type,action,primary_intent,unique_value,risk_fixed_or_remaining,redirect_target,unique_problem,unique_modules,indexing_reason,factual_cleanup
/official_location_hours_contact/,official_location,KEEP,"Verify real studio address, contact, canonical NAP, and location facts.",Canonical studio identity and single public address.,Keep hours conservative until owner verifies.,,"Clients and directories need one authoritative address, phone, email, and schedule-verification path.",NAP table; map embed; conservative schedule block; directory FAQ; artist roster,This is the citation source of truth and would deserve to exist without Google.,Exact hours and minors-policy details kept conservative until owner verifies.
/tattoo-shop-near-las-vegas-strip/,geo_hub,KEEP_IMPROVE,"Help Strip visitors plan tattoo and piercing appointments around hotels, shows, flights, pools, and sun.","Central visitor hub with links to MGM, Sphere, Allegiant, airport, Paradise, Henderson, and Spring Valley guidance.","Removed exact fares, exact drive times, and stale airport naming.",,"Strip visitors need one non-doorway planning hub for hotel, show, pool, sun, rideshare, and sober timing decisions.",Direct answer; Strip area routing; why leave the Strip; visitor aftercare; getting here without exact fares,It consolidates weak Strip variants into a useful visitor planning page.,"Removed exact fares, exact drive times, stale airport naming, and exact verified-hours claims."
/tattoo_shop_near_mgm_grand_las_vegas/,geo_landmark,KEEP_IMPROVE,South Strip and MGM-area visitor planning.,"Show-day, pool/sun, and south Strip routing advice.","Removed exact mileage, exact drive time, free parking, and two-person roster copy.",,"MGM-area hotel guests need tattoo/piercing timing help around shows, alcohol, pools, and resort pickup zones.",MGM and south Strip planning; pool/sun/show timing; selected tattoo visuals,MGM has distinct visitor logistics and meaningful local search intent.,"Removed exact mileage, exact drive time, free parking, and two-person roster copy."
/tattoo_shop_near_the_sphere_las_vegas/,geo_landmark,KEEP_IMPROVE,Sphere and north Strip show visitor planning.,"Venue timing, north Strip traffic, after-show sobriety, and aftercare guidance.",Removed exact travel times and parking-price claims.,,Sphere and Venetian-corridor visitors need show-day timing guidance before making tattoo or piercing plans.,Sphere and north Strip timing; after-show reality check; selected detail-work visual,The Sphere corridor has a distinct event-timing use case that is not the same as MGM or airport traffic.,Removed exact travel times and parking-price claims.
/tattoo_shop_near_allegiant_stadium_las_vegas/,geo_landmark,KEEP_IMPROVE,Allegiant Stadium event-day tattoo and piercing planning.,"Stadium traffic, clothing friction, sobriety, and Mandalay/Luxor crossover context.",Removed exact travel times and event parking price claims.,,"Stadium visitors need help separating tattoo timing from kickoff, concert exits, clothing friction, and event traffic.",Stadium event logistics; south Strip crossover; selected event-weekend tattoo visual,Allegiant has distinct event-day logistics and absorbs weaker Mandalay-adjacent intent.,Removed exact travel times and event parking price claims.
/tattoo_shop_near_las_vegas_airport/,geo_landmark,KEEP_IMPROVE,Harry Reid International Airport travel-day planning.,"Flight, terminal, luggage, rental-car, and dry-air aftercare context.","Removed Harry Reid International Airport as current naming, exact terminal drive times, and airport fee claims.",,"Airport visitors need practical timing advice around flights, luggage straps, rental cars, cleaning access, and comfort.",Airport-day decisions; visitor aftercare checklist; selected tattoo and piercing visuals,"Airport planning is a distinct travel-intent page, not a neighborhood doorway page.","Removed Harry Reid International Airport as current naming, exact terminal drive times, airport fee claims, and unsupported cabin-pressure healing implications."
/tattoo_shop_paradise_nevada/,locality,KEEP,Clarify the actual locality around Work of Art's E. Tropicana studio.,Explains Paradise as the real place context without claiming a second location.,Removed exact block/minute claims and unsupported training claim.,,"Maps and local entities often describe this part of Las Vegas as Paradise, so users need clear address/locality context.",Why Paradise matters; local client use case; mixed tattoo/piercing visuals,It explains the real locality of the actual studio and prevents fake-branch confusion.,Removed exact block/minute claims and unsupported training claim.
/tattoo_shop_spring_valley_las_vegas/,geo_resident,KEEP_IMPROVE,West-valley clients planning repeat tattoo sessions or piercing consults.,"Spring Valley route-choice, large-project, and artist-fit context.",Removed exact drive times and free parking copy.,,Spring Valley clients need repeat-appointment and west-valley route planning for larger projects.,West-valley appointment planning; artist-fit section; selected black-and-grey visual,It serves resident repeat-session intent and absorbs weaker Summerlin intent.,Removed exact drive times and free parking copy.
/tattoo_shop_serving_henderson_nevada/,geo_resident,KEEP_IMPROVE,Henderson collectors choosing a destination artist for larger or repeat work.,One consolidated Henderson page replacing Green Valley duplicate.,Green Valley links consolidated into this page.,,Henderson clients need one stronger destination-artist page instead of thin Green Valley/Henderson duplicates.,Henderson-to-Tropicana fit; when the trip is worth it; selected tattoo and piercing visuals,Henderson has resident demand and repeat-session planning needs distinct from tourist landmark pages.,Green Valley duplicate consolidated; exact travel-time/free-parking claims removed.
/vegas_tattoo_shop_vs_cheap_strip_tattoo_what_you_need_to_know/,comparison,KEEP,Commercial comparison for visitors deciding between cheap Strip tattoos and a studio appointment.,"Decision support, not a thin location variant.",Monitor for unsupported superlatives.,,Visitors need buying-risk comparison before choosing a cheap Strip tattoo option.,Studio-vs-Strip comparison content,"This is a commercial decision-support page, not a doorway location variant.",No geo-hour or geo-fare claims added.
/vegas_tattoo_shop_vs_cheap_strip_tattoo_ultimate_comparison/,comparison,KEEP,Expanded Strip-vs-studio commercial comparison.,Visitor buying-risk framing and appointment guidance.,Monitor overlap with shorter comparison page in a future non-geo pass.,,Visitors comparing studio quality against cheap Strip options need deeper appointment and quality-risk framing.,Expanded commercial comparison content,It supports commercial decision-making; overlap should be reviewed in a later non-geo pass.,No geo-hour or geo-fare claims added.
/tattoo_shop_near_the_strip_geo_seo_optimized/,legacy_geo_variant,MERGE_301,Legacy Strip location landing page.,Superseded by the canonical near-Strip hub.,Redirect preserves any legacy signals while removing duplicate indexable content.,/tattoo-shop-near-las-vegas-strip/,Users need the current Strip visitor hub instead of a duplicate legacy URL.,Redirect placeholder only,Does not deserve independent indexing after consolidation.,Legacy exact minutes/free-lot claims retired behind redirect placeholder.
/tattoo_shop_serving_summerlin_las_vegas/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo_shop_spring_valley_las_vegas/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_serving_downtown_las_vegas/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo-shop-near-las-vegas-strip/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_piercing_shop_near_unlv/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo_shop_paradise_nevada/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_enterprise_las_vegas/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo-shop-near-las-vegas-strip/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_green_valley_henderson/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo_shop_serving_henderson_nevada/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_serving_north_las_vegas/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo-shop-near-las-vegas-strip/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_near_las_vegas_convention_center/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo_shop_near_the_sphere_las_vegas/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
/tattoo_shop_near_mandalay_bay_las_vegas/,weak_geo_variant,MERGE_301,Near-identical neighborhood or landmark location query.,Insufficient unique visitor utility to remain indexable as a separate URL.,Redirect preserves intent while concentrating authority into a stronger nearby page.,/tattoo_shop_near_allegiant_stadium_las_vegas/,"The query can be answered better by a stronger surviving locality, landmark, or visitor hub page.",Redirect placeholder only,No independent indexation after consolidation.,"Old exact hours, parking, minor-policy, sterile, and travel-time claims removed from indexable output."
